"date","dir","vel","temp","d2m","pressure","precip","present_weather","past_weather","terrain","SnowH","rh"
"2011-01-01 00:00:00",280,5,0.3,-0.2,987.7,NA,1,22,NA,NA,96.5
"2011-01-01 03:00:00",0,0,-0.1,-0.6,988.1,NA,1,22,NA,NA,96.5
"2011-01-01 06:00:00",180,8,-0.9,-1.4,988.7,NA,2,22,NA,NA,96.5
"2011-01-01 09:00:00",0,0,1.2,0.8,990,NA,3,22,NA,NA,97.2
"2011-01-01 12:00:00",NA,NA,0.8,0.3,990.4,NA,NA,NA,NA,NA,96.5
"2011-01-01 15:00:00",0,0,1.7,1.3,990.8,NA,3,22,NA,NA,97.2
"2011-01-01 18:00:00",NA,NA,0.8,0.3,991.1,NA,NA,NA,NA,NA,96.5
"2011-01-01 21:00:00",290,7,1.2,0.7,991.3,NA,2,22,NA,NA,96.5
"2011-01-02 00:00:00",0,0,0.1,-0.3,992.1,NA,51,52,NA,NA,97.2
"2011-01-02 03:00:00",320,16,0.5,0,993.8,NA,68,75,NA,NA,96.5
"2011-01-02 06:00:00",NA,NA,0.9,0.8,994.5,NA,51,76,NA,NA,99.3
"2011-01-02 09:00:00",50,12,1.5,1.4,995.4,NA,2,52,NA,NA,99.3
"2011-01-02 12:00:00",70,19,1.5,1.4,996.5,NA,61,65,NA,NA,99.3
"2011-01-02 15:00:00",70,15,0.7,0.7,999.2,NA,71,76,NA,NA,100
"2011-01-02 18:00:00",90,8,1.1,1,1002.1,NA,2,76,2,191,99.3
"2011-01-02 21:00:00",50,9,1.8,-0.3,1003.4,NA,2,22,NA,NA,86.1
"2011-01-03 00:00:00",90,3,1.2,-3.6,1004.8,NA,22,72,NA,NA,70.7
"2011-01-03 03:00:00",NA,NA,1.3,-3.5,1005.9,NA,NA,NA,NA,NA,70.7
"2011-01-03 06:00:00",140,7,0.8,-3.6,1005.9,NA,3,42,NA,NA,72.7
"2011-01-03 09:00:00",0,0,0.2,-7.4,1005.3,NA,2,22,NA,NA,57.1
"2011-01-03 12:00:00",0,0,3.4,-6.3,1003.9,NA,2,22,NA,NA,49.4
"2011-01-03 15:00:00",0,0,3,-7.2,1001.2,NA,3,22,NA,NA,47.5
"2011-01-03 18:00:00",140,9,1.2,-8.1,997.4,NA,2,72,2,191,50.3
"2011-01-03 21:00:00",330,17,4.6,-4.1,995.2,NA,2,62,NA,NA,53.6
"2011-01-04 00:00:00",340,20,3.5,1.3,994.4,NA,2,62,NA,NA,85.7
"2011-01-04 03:00:00",280,14,2.1,1.8,995.2,NA,1,22,NA,NA,97.9
"2011-01-04 06:00:00",290,5,1.6,1.3,994.5,NA,3,22,NA,NA,97.9
"2011-01-04 12:00:00",300,5,0.9,-2.4,993.6,NA,10,22,NA,NA,78.9
"2011-01-04 15:00:00",0,0,0.8,0.5,992.2,NA,43,42,NA,NA,97.9
"2011-01-04 18:00:00",280,6,1,0.7,990.4,NA,2,42,NA,NA,97.9
"2011-01-04 21:00:00",290,13,1.2,0.9,989.7,NA,2,42,2,184,97.9
"2011-01-05 00:00:00",250,7,0.5,0.3,989.5,NA,46,42,NA,NA,98.6
"2011-01-05 03:00:00",0,0,-0.2,-0.4,989.4,NA,45,42,NA,NA,98.6
"2011-01-05 06:00:00",170,4,-1.5,-1.8,990.6,NA,51,54,NA,NA,97.9
"2011-01-05 09:00:00",100,2,-1.5,-1.7,991.6,NA,56,54,NA,NA,98.6
"2011-01-05 12:00:00",100,5,-3,-3.3,993,NA,45,54,NA,NA,97.8
"2011-01-05 15:00:00",340,8,-2,-2.1,994.5,NA,56,54,NA,NA,99.3
"2011-01-05 18:00:00",340,10,-1.2,-1.2,996,NA,2,52,NA,NA,100
"2011-01-05 21:00:00",340,7,-0.2,-0.2,997.7,NA,2,52,2,181,100
"2011-01-06 00:00:00",340,8,-0.3,-0.4,998.5,NA,2,22,NA,NA,99.3
"2011-01-06 03:00:00",320,8,-0.5,-0.5,998,NA,2,22,NA,NA,100
"2011-01-06 06:00:00",90,7,-1,-1,997.5,NA,2,22,NA,NA,100
"2011-01-06 09:00:00",70,9,-1,-1,995.7,NA,2,22,NA,NA,100
"2011-01-06 12:00:00",230,7,-1.2,-1.3,994.2,NA,1,22,NA,NA,99.3
"2011-01-06 18:00:00",150,7,-0.6,-0.7,991.6,NA,2,22,NA,NA,99.3
"2011-01-07 00:00:00",150,8,0.5,0.4,991.6,NA,1,22,NA,NA,99.3
"2011-01-07 03:00:00",0,0,0.2,0.2,992.2,NA,3,22,2,180,100
"2011-01-07 06:00:00",190,7,0.7,0.7,993.7,NA,2,22,NA,NA,100
"2011-01-07 12:00:00",190,6,0.6,0.5,995,NA,2,22,NA,NA,99.3
"2011-01-07 15:00:00",230,7,0.5,0.4,996.8,NA,71,72,NA,NA,99.3
"2011-01-07 18:00:00",220,5,0.4,0.4,998.4,NA,71,72,NA,NA,100
"2011-01-07 21:00:00",210,11,0,0,1000.2,NA,2,72,NA,NA,100
"2011-01-08 00:00:00",0,0,0.4,0.4,1001.1,NA,1,72,NA,NA,100
"2011-01-08 06:00:00",0,0,3.9,-0.3,1001.4,NA,2,22,NA,NA,74.4
"2011-01-08 09:00:00",0,0,3.2,1.6,1001.3,NA,2,22,2,177,89.4
"2011-01-08 12:00:00",NA,NA,3.9,2.1,1001.2,NA,NA,NA,NA,NA,88.2
"2011-01-08 15:00:00",0,0,-0.1,-0.1,1000.2,NA,2,72,NA,NA,100
"2011-01-08 18:00:00",40,8,-0.2,-0.2,999.2,NA,27,72,NA,NA,100
"2011-01-08 21:00:00",0,0,-0.4,-0.5,998.1,NA,NA,NA,NA,NA,99.3
"2011-01-09 00:00:00",0,0,-0.3,-0.3,997.2,NA,2,22,NA,NA,100
"2011-01-09 03:00:00",0,0,0.1,0.1,996,NA,71,72,NA,NA,100
"2011-01-09 06:00:00",260,10,0,-0.1,994.5,NA,71,77,NA,NA,99.3
"2011-01-09 09:00:00",280,6,0.1,0,993.5,NA,71,77,2,179,99.3
"2011-01-09 12:00:00",0,0,-0.5,-0.6,992.7,NA,22,72,NA,NA,99.3
"2011-01-09 15:00:00",0,0,-0.6,-0.7,991.6,NA,2,72,NA,NA,99.3
"2011-01-09 18:00:00",0,0,-0.7,-0.8,990.6,NA,70,72,NA,NA,99.3
"2011-01-09 21:00:00",0,0,-1.5,-1.6,989.7,NA,70,72,NA,NA,99.3
"2011-01-10 00:00:00",0,0,-1.6,-1.6,988.9,NA,71,77,NA,NA,100
"2011-01-10 06:00:00",180,8,-1.3,-1.4,988.7,NA,1,72,NA,NA,99.3
"2011-01-10 09:00:00",0,0,0.1,0,988.1,NA,3,22,NA,NA,99.3
"2011-01-10 12:00:00",0,0,-0.3,-0.3,988.4,NA,2,82,2,182,100
"2011-01-10 15:00:00",210,9,0.5,0.5,988.7,NA,2,22,NA,NA,100
"2011-01-10 18:00:00",0,0,-0.1,-0.1,988.4,NA,2,22,NA,NA,100
"2011-01-10 21:00:00",0,0,-0.5,-0.6,987.8,NA,2,22,NA,NA,99.3
"2011-01-11 00:00:00",0,0,-2.1,-2.2,987.1,NA,2,22,NA,NA,99.3
"2011-01-11 03:00:00",0,0,-1.3,-3.6,986.5,NA,1,22,NA,NA,84.6
"2011-01-11 06:00:00",0,0,-1,-2.2,986.2,NA,1,11,NA,NA,91.7
"2011-01-11 09:00:00",0,0,2.3,0.9,984.8,NA,2,0,NA,NA,90.6
"2011-01-11 12:00:00",0,0,2.7,-4.6,984.5,NA,3,0,NA,NA,59
"2011-01-11 15:00:00",130,5,1.9,-4,984.8,NA,1,0,NA,NA,65.3
"2011-01-11 18:00:00",150,3,1.7,-5.8,985.3,NA,3,0,NA,NA,57.9
"2011-01-11 21:00:00",170,10,-1.5,-7.2,985.5,NA,2,0,NA,NA,65.5
"2011-01-12 00:00:00",170,12,-3.1,-6.8,985.9,NA,2,0,NA,NA,75.9
"2011-01-12 03:00:00",160,10,-2.2,-7.5,986.6,NA,1,0,NA,NA,67.4
"2011-01-12 06:00:00",160,7,-1.8,-6.8,986.6,NA,1,0,NA,NA,69
"2011-01-12 09:00:00",NA,NA,-0.2,-5,986.6,NA,NA,NA,NA,NA,70.4
"2011-01-12 12:00:00",220,2,1.3,-6,986.8,NA,2,0,2,174,58.7
"2011-01-12 15:00:00",150,5,0.5,-4,987.1,NA,2,0,NA,NA,72.1
"2011-01-12 18:00:00",0,0,0.6,-4.7,986.5,NA,2,0,NA,NA,68
"2011-01-12 21:00:00",0,0,-1.9,-4.2,985.8,NA,1,0,NA,NA,84.5
"2011-01-13 00:00:00",150,4,-2.6,-5,985.3,NA,2,0,NA,NA,83.8
"2011-01-13 03:00:00",0,0,-0.1,-4.2,985.7,NA,3,11,NA,NA,74.2
"2011-01-13 06:00:00",0,0,-0.6,-3.8,985,NA,3,11,NA,NA,79.2
