date,temp,dir,vel,hr,skt,temp_byers,dir_byers,vel_byers,hr_byers,skt_byers
2001-12-10 18:00:00,0.3,59.0,5.5,91.8,0.84,0,0,0,0,0
2001-12-10 21:00:00,-0.92,108.0,8.1,97.3,-0.77,0,0,0,0,0
2001-12-11 00:00:00,-0.92,140.0,9.3,96.1,-0.9,0,0,0,0,0
2001-12-11 03:00:00,-0.72,219.0,5.1,78.2,-0.96,0,0,0,0,0
2001-12-11 06:00:00,-0.75,230.0,9.1,84.7,-1.0,0,0,0,0,0
2001-12-11 09:00:00,-0.29,225.0,9.5,77.7,0.13,0,0,0,0,0
2001-12-11 12:00:00,0.69,253.0,10.3,81.9,2.67,0,0,0,0,0
2001-12-11 15:00:00,1.18,263.0,9.5,83.3,3.68,0,0,0,0,0
2001-12-11 18:00:00,1.18,293.0,6.5,89.9,3.38,0,0,0,0,0
2001-12-11 21:00:00,0.27,341.0,7.5,96.4,0.48,0,0,0,0,0
2001-12-12 00:00:00,1.26,284.0,6.4,96.8,1.37,0,0,0,0,0
2001-12-12 03:00:00,1.19,278.0,10.2,97.4,1.25,0,0,0,0,0
2001-12-12 06:00:00,0.86,259.0,8.6,97.2,1.26,0,0,0,0,0
2001-12-12 09:00:00,1.32,273.0,7.6,96.7,1.87,0,0,0,0,0
2001-12-12 12:00:00,1.25,299.0,6.4,97.1,1.97,0,0,0,0,0
2001-12-12 15:00:00,2.76,280.0,10.2,95.5,3.78,0,0,0,0,0
2001-12-12 18:00:00,2.36,287.0,8.6,95.8,3.45,0,0,0,0,0
2001-12-12 21:00:00,1.09,303.0,7.2,97.2,1.33,0,0,0,0,0
2001-12-13 00:00:00,0.8,306.0,6.6,97.9,0.87,0,0,0,0,0
2001-12-13 03:00:00,1.26,308.0,7.8,98.6,1.28,0,0,0,0,0
2001-12-13 06:00:00,2.96,330.0,7.3,97.1,3.07,0,0,0,0,0
2001-12-13 09:00:00,3.22,340.0,11.2,87.3,3.58,0,0,0,0,0
2001-12-13 12:00:00,3.75,345.0,11.2,91.2,3.9,0,0,0,0,0
2001-12-13 15:00:00,2.89,341.0,11.2,95.9,3.14,0,0,0,0,0
2001-12-13 18:00:00,2.96,311.0,9.5,95.6,3.14,0,0,0,0,0
2001-12-13 21:00:00,2.47,313.0,8.7,93.0,2.59,0,0,0,0,0
2001-12-14 00:00:00,1.59,296.0,10.0,92.8,1.55,0,0,0,0,0
2001-12-14 03:00:00,0.83,301.0,9.5,91.4,0.51,0,0,0,0,0
2001-12-14 06:00:00,1.72,323.0,15.8,88.8,1.17,0,0,0,0,0
2001-12-14 09:00:00,1.26,281.0,14.4,88.3,1.42,0,0,0,0,0
2001-12-14 12:00:00,2.73,288.0,15.7,82.4,4.39,0,0,0,0,0
2001-12-14 15:00:00,3.29,288.0,12.6,80.1,5.65,0,0,0,0,0
2001-12-14 18:00:00,1.12,304.0,7.4,92.4,1.64,0,0,0,0,0
2001-12-14 21:00:00,2.21,294.0,12.4,94.4,2.35,0,0,0,0,0
2001-12-15 00:00:00,2.18,294.0,12.6,95.0,2.13,0,0,0,0,0
2001-12-15 03:00:00,2.04,296.0,13.1,97.0,2.08,0,0,0,0,0
2001-12-15 06:00:00,1.06,271.0,12.6,93.1,1.22,0,0,0,0,0
