date,temp,dir,vel,hr,pres,temp_rothera,dir_rothera,vel_rothera,hr_rothera,pres_rothera
2005-01-01 00:00:00+00:00,1.1,350.0,16.0,97.0,999.6,1,1,1,1,1
2005-01-01 03:00:00+00:00,1.0,350.0,14.0,96.0,1000.4,1,1,1,1,1
2005-01-01 06:00:00+00:00,1.0,310.0,9.0,100.0,1002.1,1,1,1,1,1
2005-01-01 09:00:00+00:00,0.7,210.0,7.0,100.0,1003.7,1,1,1,1,1
2005-01-01 12:00:00+00:00,1.3,220.0,4.0,100.0,1005.4,1,1,1,1,1
2005-01-01 15:00:00+00:00,3.7,200.0,5.0,84.0,1007.7,1,1,1,1,1
2005-01-01 18:00:00+00:00,1.0,80.0,5.0,91.0,1008.7,1,1,1,1,1
2005-01-01 21:00:00+00:00,0.1,100.0,5.0,100.0,1008.7,1,1,1,1,1
2005-01-02 00:00:00+00:00,0.3,140.0,3.0,100.0,1007.9,1,1,1,1,1
2005-01-02 03:00:00+00:00,-0.3,20.0,2.0,100.0,1005.3,1,1,1,1,1
2005-01-02 06:00:00+00:00,0.3,20.0,5.0,100.0,1004.0,1,1,1,1,1
2005-01-02 09:00:00+00:00,2.0,340.0,7.0,88.0,1002.7,1,1,1,1,1
2005-01-02 12:00:00+00:00,3.5,340.0,6.0,78.0,1001.6,1,1,1,1,1
2005-01-02 15:00:00+00:00,4.5,330.0,6.0,69.0,1001.8,1,1,1,1,1
2005-01-02 18:00:00+00:00,2.8,360.0,19.0,81.0,1001.5,1,1,1,1,1
2005-01-02 21:00:00+00:00,2.2,340.0,16.0,90.0,1001.5,1,1,1,1,1
2005-01-03 00:00:00+00:00,2.1,350.0,16.0,93.0,1001.6,1,1,1,1,1
2005-01-03 03:00:00+00:00,2.2,340.0,19.0,92.0,1001.8,1,1,1,1,1
2005-01-03 06:00:00+00:00,2.9,350.0,19.0,84.0,1001.8,1,1,1,1,1
2005-01-03 09:00:00+00:00,3.2,350.0,17.0,84.0,1001.3,1,1,1,1,1
2005-01-03 12:00:00+00:00,3.6,350.0,17.0,80.0,1000.4,1,1,1,1,1
2005-01-03 15:00:00+00:00,4.1,340.0,17.0,81.0,999.6,1,1,1,1,1
2005-01-03 18:00:00+00:00,3.4,340.0,16.0,89.0,998.6,1,1,1,1,1
2005-01-03 21:00:00+00:00,2.4,340.0,8.0,92.0,997.0,1,1,1,1,1
2005-01-04 00:00:00+00:00,2.0,340.0,9.0,96.0,994.4,1,1,1,1,1
2005-01-04 03:00:00+00:00,2.5,300.0,6.0,97.0,991.6,1,1,1,1,1
2005-01-04 06:00:00+00:00,2.2,50.0,1.0,95.0,989.2,1,1,1,1,1
2005-01-04 09:00:00+00:00,3.7,340.0,21.0,86.0,986.9,1,1,1,1,1
