date,temp,skt,dir,vel,hr,prec,pres,temp_jci,skt_jci,dir_jci,vel_jci,hr_jci,prec_jci,pres_jci
2005-01-01 00:00:00+00:00,1.3,1.6,204.0,2.1,66.0,0.0,985.7,1,1,1,1,1,1,1
2005-01-01 03:00:00+00:00,0.9,0.6000000000000001,215.0,1.5,72.0,0.0,985.1,1,1,1,1,1,1,1
2005-01-01 06:00:00+00:00,0.6000000000000001,0.2,166.0,2.5,72.0,0.0,985.0,1,1,1,1,1,1,1
2005-01-01 09:00:00+00:00,0.3,0.2,125.0,4.6,73.0,0.0,985.3,1,1,1,1,1,1,1
2005-01-01 12:00:00+00:00,1.6,1.9,89.0,2.3,64.0,0.0,985.3,1,1,1,1,1,1,1
2005-01-01 15:00:00+00:00,2.2,2.7,35.0,4.9,58.0,0.0,985.5,1,1,1,1,1,1,1
2005-01-01 18:00:00+00:00,1.6,2.3,21.0,6.1,65.0,0.0,985.4,1,1,1,1,1,1,1
2005-01-01 21:00:00+00:00,2.3,2.8,15.0,5.5,71.0,0.0,984.4,1,1,1,1,1,1,1
2005-01-02 00:00:00+00:00,3.7,3.7,52.0,0.6000000000000001,69.0,0.0,983.0,1,1,1,1,1,1,1
2005-01-02 03:00:00+00:00,3.7,3.6,161.0,1.4,66.0,0.0,982.5,1,1,1,1,1,1,1
2005-01-02 06:00:00+00:00,1.6,1.3,239.0,1.4,82.0,0.0,984.0,1,1,1,1,1,1,1
2005-01-02 09:00:00+00:00,1.1,0.8,,0.0,89.0,0.0,986.6,1,1,1,1,1,1,1
2005-01-02 12:00:00+00:00,2.6,2.7,117.0,2.9,85.0,0.0,988.4,1,1,1,1,1,1,1
2005-01-02 15:00:00+00:00,3.6,4.9,9.0,1.6,79.0,0.0,989.3,1,1,1,1,1,1,1
2005-01-02 18:00:00+00:00,4.2,4.9,34.0,3.0,79.0,0.0,990.3,1,1,1,1,1,1,1
2005-01-02 21:00:00+00:00,3.3,3.9,3.0,2.7,83.0,0.0,991.7,1,1,1,1,1,1,1
2005-01-03 00:00:00+00:00,3.1,3.0,171.0,1.9,84.0,0.0,993.7,1,1,1,1,1,1,1
2005-01-03 03:00:00+00:00,3.2,2.9,246.0,0.4,81.0,0.0,996.4,1,1,1,1,1,1,1
2005-01-03 06:00:00+00:00,3.7,3.6,100.0,1.5,77.0,0.0,996.4,1,1,1,1,1,1,1
2005-01-03 09:00:00+00:00,2.8,2.7,25.0,3.2,86.0,0.0,997.1,1,1,1,1,1,1,1
2005-01-03 12:00:00+00:00,3.4,3.4,74.0,1.0,86.0,0.0,998.0,1,1,1,1,1,1,1
2005-01-03 15:00:00+00:00,3.3,3.4,8.0,3.3,89.0,0.0,998.8,1,1,1,1,1,1,1
2005-01-03 18:00:00+00:00,3.3,3.2,83.0,2.2,89.0,0.0,999.3,1,1,1,1,1,1,1
2005-01-03 21:00:00+00:00,3.4,3.2,41.0,3.6,89.0,0.0,998.9,1,1,1,1,1,1,1
2005-01-04 00:00:00+00:00,3.8,3.4,323.0,7.1,89.0,0.0,998.5,1,1,1,1,1,1,1
2005-01-04 03:00:00+00:00,3.0,2.7,334.0,2.6,90.0,0.0,998.8,1,1,1,1,1,1,1
2005-01-04 06:00:00+00:00,3.3,2.9,342.0,5.5,86.0,0.0,998.3,1,1,1,1,1,1,1
2005-01-04 09:00:00+00:00,4.5,4.1,304.0,6.1,80.0,0.0,998.8,1,1,1,1,1,1,1
2005-01-04 12:00:00+00:00,5.2,5.0,33.0,2.8,75.0,0.0,998.5,1,1,1,1,1,1,1
2005-01-04 15:00:00+00:00,7.6,7.3,24.0,2.1,65.0,0.0,996.5,1,1,1,1,1,1,1
2005-01-04 18:00:00+00:00,2.9,3.2,10.0,2.8,88.0,0.0,994.4,1,1,1,1,1,1,1
2005-01-04 21:00:00+00:00,4.3,3.9,3.0,5.3,81.0,0.0,992.0,1,1,1,1,1,1,1
2005-01-05 00:00:00+00:00,3.7,3.4,68.0,4.4,86.0,0.0,989.0,1,1,1,1,1,1,1
2005-01-05 03:00:00+00:00,3.7,3.4,40.0,4.2,85.0,0.0,987.0,1,1,1,1,1,1,1
2005-01-05 06:00:00+00:00,3.2,2.9,26.0,6.7,85.0,0.0,984.1,1,1,1,1,1,1,1
2005-01-05 09:00:00+00:00,2.9,2.7,10.0,1.8,85.0,0.0,981.8,1,1,1,1,1,1,1
2005-01-05 12:00:00+00:00,2.5,2.5,,0.0,88.0,0.0,980.1,1,1,1,1,1,1,1
2005-01-05 15:00:00+00:00,2.2,2.3,237.0,1.1,91.0,0.0,978.3,1,1,1,1,1,1,1
2005-01-05 18:00:00+00:00,0.9,0.3,201.0,2.1,90.0,0.0,978.4,1,1,1,1,1,1,1
2005-01-05 21:00:00+00:00,1.5,0.8,160.0,0.6000000000000001,89.0,0.0,980.6,1,1,1,1,1,1,1
2005-01-06 00:00:00+00:00,1.6,1.0,207.0,2.3,85.0,0.0,983.0,1,1,1,1,1,1,1
2005-01-06 03:00:00+00:00,0.8,0.5,181.0,1.6,87.0,0.0,984.5,1,1,1,1,1,1,1
